t,u,y
8300,6.9,11.823381949401869
8310,6.9,11.82992167089633
8320,6.9,11.83587635503959
8330,6.9,11.841305275503197
8340,6.9,11.8462605512799
8350,6.9,11.850788200078467
8360,6.9,11.854929005299155
8370,6.9,11.858719234965294
8380,6.9,11.862191242064133
8390,6.9,11.865373969122386
8400,6.9,11.868293374865651
8410,6.9,11.870972797037071
8420,6.9,11.873433262562207
8430,6.9,11.875693754016877
8440,6.9,11.87777143961893
8450,6.9,11.879681872603374
8460,6.9,11.88143916476483
8470,6.9,11.883056138095883
8480,6.9,11.884544457765331
8490,6.9,11.885914749128995
8500,6.9,11.88717670101939
8510,6.9,11.888339157197002
8520,6.9,11.88941019754843
8530,6.9,11.890397210371935
8540,6.9,11.891306956888759
8550,6.9,11.892145628950725
8560,6.9,11.892918900774704
8570,6.9,11.8936319754174
8580,6.9,11.894289626605504
8590,6.9,11.89489623645319
8600,6.9,11.895455829528602
8610,6.9,11.895972103671275
8620,6.9,11.896448457911395
8630,6.9,11.896888017798302
8640,6.9,11.89729365840812
8650,6.9,11.89766802526827
8660,6.9,11.898013553408713
8670,6.9,11.898332484725705
8680,6.9,11.898626883822894
8690,6.9,11.898898652476344
8700,6.9,11.899149542854106
8710,6.9,11.899381169607048
8720,6.9,11.899595020935317
8730,6.9,11.899792468724108
8740,6.9,11.899974777832812
8750,6.9,11.900143114613211
8760,6.9,11.900298554724968
8770,6.9,11.900442090309934
8780,6.9,11.90057463658099
8790,6.9,11.900697037875766
8800,6.9,11.90081007322097
8810,6.9,11.900914461448757
8820,6.9,11.901010865902824
8830,6.9,11.901099898768528
8840,6.9,11.901182125058222
8850,6.9,11.901258066280263
8860,6.9,11.90132820381768
8870,6.9,11.901392982040159
8880,6.9,11.90145281117108
8890,6.9,11.901508069929353
8900,6.9,11.901559107964236
8910,6.9,11.901606248099734
8920,6.9,11.901649788403786
8930,6.9,11.90169000409621
8940,6.9,11.901727149308213
8950,6.9,11.901761458705217
8960,6.9,11.901793148983769
8970,6.9,11.90182242025251
8980,6.9,11.901849457306232
8990,6.9,11.901874430801488
9000,6.9,11.90189749834139
9010,6.9,11.901918805476722
9020,6.9,11.901938486629893
9030,6.9,11.90195666594771
9040,6.9,11.901973458088532
9050,6.9,11.901988968948865
9060,6.9,11.902003296334131
9070,6.9,11.90201653057789
9080,6.9,11.902028755113541
9090,6.9,11.902040047002123
9100,6.9,11.90205047741967
9110,6.9,11.902060112107167
9120,6.9,11.90206901178605
9130,6.9,11.902077232541854
9140,6.9,11.902084826178488
9150,6.9,11.902091840545388
9160,6.9,11.902098319839633
9170,6.9,11.902104304884935
9180,6.9,11.902109833389295
9190,6.9,11.902114940182948
9200,6.9,11.902119657438115
9210,6.9,11.902124014871966
9220,6.9,11.902128039934041
9230,6.9,11.902131757979387
9240,6.9,11.90213519242843
